번호,구정보,신고일,조치일,주소,유형,위도,경도
1,광진구,2023-01-17,2023-01-17,서울특별시 광진구 중곡동 266-1,보도와 차도가 구분된 도로의 차도,37.5655538,127.0865745
2,광진구,2023-01-17,2023-01-17,서울특별시 광진구 광장동 551,보도와 차도가 구분된 도로의 차도,37.5459758,127.1050515
3,광진구,2023-01-18,2023-01-18,서울특별시 광진구 자양동 204-1,기타,37.5367608,127.0832751
4,광진구,2023-01-18,2023-01-18,서울특별시 광진구 구의동 546-4,보도 중앙,37.5356993,127.095765
5,광진구,2023-01-18,2023-01-18,서울특별시 광진구 구의동 546-4,보도 중앙,37.5356993,127.095765
6,광진구,2023-01-18,2023-01-18,서울특별시 광진구 군자동 313,자전거 도로,37.5518104,127.0765659
7,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 243-66,보도와 차도가 구분된 도로의 차도,37.5375938,127.0870344
8,광진구,2023-01-19,2023-01-19,서울특별시 광진구 중곡동 266-1,"버스정류장, 택시 승강장",37.5655538,127.0865745
9,광진구,2023-01-19,2023-01-19,서울특별시 광진구 중곡동 280-4,보도와 차도가 구분된 도로의 차도,37.5627804,127.0809336
10,광진구,2023-01-19,2023-01-19,서울특별시 광진구 중곡동 273-1,보도 중앙,37.565831,127.08425
11,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 235-19,보도 중앙,37.5437086,127.0854003
12,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 236-24,보도와 차도가 구분된 도로의 차도,37.5428643,127.0846576
13,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 236-21,보도와 차도가 구분된 도로의 차도,37.5423292,127.0842232
14,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 236-21,보도와 차도가 구분된 도로의 차도,37.5423292,127.0842232
15,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 236-21,보도 중앙,37.5423292,127.0842232
16,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 236-21,보도와 차도가 구분된 도로의 차도,37.5423292,127.0842232
17,광진구,2023-01-20,2023-01-20,서울특별시 광진구 광장동 322-6,"횡단보도, 산책로 등",37.5471989,127.1076351
18,광진구,2023-01-20,2023-01-20,서울특별시 광진구 화양동 6-1,자전거 도로,37.5403776,127.0705256
19,광진구,2023-01-20,2023-01-31,서울특별시 광진구 군자동 243,보도와 차도가 구분된 도로의 차도,37.5527854,127.0767872
20,광진구,2023-01-26,2023-01-26,서울특별시 광진구 중곡동 273-1,"횡단보도, 산책로 등",37.565831,127.08425
21,광진구,2023-01-26,2023-01-26,서울특별시 광진구 자양동 722,보도 중앙,37.5330768,127.0849946
22,광진구,2023-01-26,2023-01-26,서울특별시 광진구 화양동 164-9,보도 중앙,37.5425437,127.0718327
23,광진구,2023-01-26,2023-01-26,서울특별시 광진구 자양동 859,"점자블록, 엘리베이터 입구",37.5377045,127.0815286
24,광진구,2023-01-26,2023-01-26,서울특별시 광진구 구의동 253-53,보도 중앙,37.5449188,127.0836199
25,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
26,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
27,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
28,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
29,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
30,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
31,광진구,2023-01-26,2023-01-26,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
32,광진구,2023-01-26,2023-01-26,서울특별시 광진구 광장동 396-5,보도 중앙,37.5452728,127.1020374
33,광진구,2023-01-30,2023-01-31,서울특별시 광진구 자양동 710-1,보도 중앙,37.5355482,127.0839566
34,광진구,2023-01-30,2023-01-31,서울특별시 광진구 자양동 710-1,보도 중앙,37.5355482,127.0839566
35,광진구,2023-01-30,2023-01-31,서울특별시 광진구 능동 18,보도 중앙,37.5495886,127.081578
36,광진구,2023-01-30,2023-01-31,서울특별시 광진구 능동 18,보도 중앙,37.5495886,127.081578
37,광진구,2023-01-31,2023-01-31,서울특별시 광진구 자양동 43-56,"버스정류장, 택시 승강장",37.5335436,127.0675907
38,광진구,2023-01-31,2023-01-31,서울특별시 광진구 자양동 855-2,"횡단보도, 산책로 등",37.5328185,127.0683211
39,광진구,2023-01-31,2023-01-31,서울특별시 광진구 자양동 856,"횡단보도, 산책로 등",37.5321852,127.0690312
40,광진구,2023-01-31,2023-01-31,서울특별시 광진구 자양동 854-3,"횡단보도, 산책로 등",37.5327534,127.0674782
41,광진구,2023-01-31,2023-01-31,서울특별시 광진구 자양동 854-3,보도와 차도가 구분된 도로의 차도,37.5327534,127.0674782
42,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 246-3,보도 중앙,37.5375471,127.0863769
43,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 243-14,보도와 차도가 구분된 도로의 차도,37.5376024,127.0865804
44,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 245-24,보도와 차도가 구분된 도로의 차도,37.5380692,127.0890292
45,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 243-14,보도와 차도가 구분된 도로의 차도,37.5376024,127.0865804
46,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 243-7,보도와 차도가 구분된 도로의 차도,37.5376233,127.0867582
47,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 243-14,보도와 차도가 구분된 도로의 차도,37.5376024,127.0865804
48,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 546-4,보도와 차도가 구분된 도로의 차도,37.5356993,127.095765
49,광진구,2023-02-02,2023-02-02,서울특별시 광진구 광장동 580,보도 중앙,37.5449476,127.1030064
50,광진구,2023-02-02,2023-02-02,서울특별시 광진구 중곡동 266-1,"횡단보도, 산책로 등",37.5655538,127.0865745
51,광진구,2023-02-02,2023-02-02,서울특별시 광진구 광장동 580,보도 중앙,37.5449476,127.1030064
52,광진구,2023-02-02,2023-02-02,서울특별시 광진구 구의동 252-131,"버스정류장, 택시 승강장",37.5389421,127.0834499
53,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
54,광진구,2023-02-03,2023-02-03,서울특별시 광진구 화양동 111-196,보도와 차도가 구분된 도로의 차도,37.5467783,127.0746322
55,광진구,2023-02-03,2023-02-03,서울특별시 광진구 군자동 374-21,보도와 차도가 구분된 도로의 차도,37.5473453,127.0743501
56,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
57,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
58,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 18-43,보도와 차도가 구분된 도로의 차도,37.5474429,127.0754399
59,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
60,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
61,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
62,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
63,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
64,광진구,2023-02-03,2023-02-03,서울특별시 광진구 자양동 855,보도와 차도가 구분된 도로의 차도,37.5329888,127.0680604
65,광진구,2023-02-03,2023-02-03,서울특별시 광진구 자양동 854-3,보도와 차도가 구분된 도로의 차도,37.5327534,127.0674782
66,광진구,2023-02-03,2023-02-03,서울특별시 광진구 자양동 855,보도와 차도가 구분된 도로의 차도,37.5329888,127.0680604
67,광진구,2023-02-03,2023-02-03,서울특별시 광진구 중곡동 669,보도와 차도가 구분된 도로의 차도,37.5582963,127.0777656
68,광진구,2023-02-03,2023-02-03,서울특별시 광진구 군자동 496,보도와 차도가 구분된 도로의 차도,37.5573959,127.0788308
69,광진구,2023-02-03,2023-02-03,서울특별시 광진구 군자동 497,보도와 차도가 구분된 도로의 차도,37.5573451,127.0786309
70,광진구,2023-02-03,2023-02-03,서울특별시 광진구 군자동 496,보도와 차도가 구분된 도로의 차도,37.5573959,127.0788308
71,광진구,2023-02-03,2023-02-03,서울특별시 광진구 군자동 496,보도와 차도가 구분된 도로의 차도,37.5573959,127.0788308
72,광진구,2023-02-03,2023-02-03,서울특별시 광진구 중곡동 661,보도와 차도가 구분된 도로의 차도,37.557262,127.0793437
73,광진구,2023-02-03,2023-02-03,서울특별시 광진구 중곡동 661,보도와 차도가 구분된 도로의 차도,37.557262,127.0793437
74,광진구,2023-02-03,2023-02-03,서울특별시 광진구 중곡동 661,보도와 차도가 구분된 도로의 차도,37.557262,127.0793437
75,광진구,2023-02-06,2023-02-06,서울특별시 광진구 중곡동 675,"횡단보도, 산책로 등",37.5612523,127.0817291
76,광진구,2023-02-06,2023-02-06,서울특별시 광진구 중곡동 277-5,"횡단보도, 산책로 등",37.5627244,127.0813506
77,광진구,2023-02-06,2023-02-06,서울특별시 광진구 광장동 580,자전거 도로,37.5449476,127.1030064
78,광진구,2023-02-06,2023-02-06,서울특별시 광진구 구의동 246-45,"점자블록, 엘리베이터 입구",37.5372103,127.0855539
79,광진구,2023-02-06,2023-02-06,서울특별시 광진구 자양동 553-29,"횡단보도, 산책로 등",37.5335509,127.068617
80,광진구,2023-02-06,2023-02-06,서울특별시 광진구 자양동 779-12,"점자블록, 엘리베이터 입구",37.5381256,127.0830299
81,광진구,2023-02-06,2023-02-06,서울특별시 광진구 자양동 779-22,보도 중앙,37.5376795,127.0827736
82,광진구,2023-02-06,2023-02-06,서울특별시 광진구 중곡동 675,"버스정류장, 택시 승강장",37.5612523,127.0817291
83,광진구,2023-02-06,2023-02-06,서울특별시 광진구 구의동 234-18,"횡단보도, 산책로 등",37.5442892,127.0850565
84,광진구,2023-02-06,2023-02-06,서울특별시 광진구 화양동 164-9,자전거 도로,37.5425437,127.0718327
85,광진구,2023-02-06,2023-02-06,서울특별시 광진구 화양동 5-52,보도 중앙,37.5416936,127.071386
86,광진구,2023-02-06,2023-02-06,서울특별시 광진구 화양동 48-10,보도와 차도가 구분된 도로의 차도,37.5410705,127.0675769
87,광진구,2023-02-06,2023-02-06,서울특별시 광진구 화양동 31-73,보도 중앙,37.5459609,127.0675486
88,광진구,2023-02-06,2023-02-06,서울특별시 광진구 화양동 2-50,보도 중앙,37.5441411,127.0725683
89,광진구,2023-02-07,2023-02-07,서울특별시 광진구 광장동 580,보도 중앙,37.5449476,127.1030064
90,광진구,2023-02-07,2023-02-07,서울특별시 광진구 구의동 252-131,"버스정류장, 택시 승강장",37.5389421,127.0834499
91,광진구,2023-02-08,2023-02-08,서울특별시 광진구 광장동 580,보도 중앙,37.5449476,127.1030064
92,광진구,2023-02-08,2023-02-08,서울특별시 광진구 구의동 243-7,"점자블록, 엘리베이터 입구",37.5376233,127.0867582
93,광진구,2023-02-08,2023-02-08,서울특별시 광진구 중곡동 266-1,"횡단보도, 산책로 등",37.5655538,127.0865745
94,광진구,2023-02-08,2023-02-08,서울특별시 광진구 화양동 490-2,보도 중앙,37.5460129,127.076516
95,광진구,2023-02-08,2023-02-08,서울특별시 광진구 자양동 504,보도 중앙,37.5345981,127.0691877
96,광진구,2023-02-08,2023-02-08,서울특별시 광진구 자양동 854-2,"횡단보도, 산책로 등",37.5318669,127.0680542
97,광진구,2023-02-08,2023-02-08,서울특별시 광진구 자양동 856-14,보도 중앙,37.5324179,127.0686107
98,광진구,2023-02-08,2023-02-08,서울특별시 광진구 구의동 246-14,"점자블록, 엘리베이터 입구",37.5370435,127.0843831
99,광진구,2023-02-08,2023-02-08,서울특별시 광진구 구의동 252-131,"버스정류장, 택시 승강장",37.5389421,127.0834499
100,광진구,2023-02-08,2023-02-08,서울특별시 광진구 화양동 4-20,"횡단보도, 산책로 등",37.5406698,127.0714146
101,광진구,2023-02-08,2023-02-08,서울특별시 광진구 구의동 546-7,보도와 차도가 구분된 도로의 차도,37.5353396,127.0929309
102,광진구,2023-02-10,2023-02-10,서울특별시 광진구 광장동 238,지하철역 진출입로 및 주변,37.5454656,127.1036117
103,광진구,2023-02-10,2023-02-10,서울특별시 광진구 화양동 111-185,"횡단보도, 산책로 등",37.5468726,127.0741788
104,광진구,2023-02-10,2023-02-10,서울특별시 광진구 광장동 580,자전거 도로,37.5449476,127.1030064
105,광진구,2023-02-10,2023-02-10,서울특별시 광진구 중곡동 675,"횡단보도, 산책로 등",37.5612523,127.0817291
106,광진구,2023-02-10,2023-02-10,서울특별시 광진구 광장동 580-1,지하철역 진출입로 및 주변,37.5447097,127.1036893
107,광진구,2023-02-10,2023-02-10,서울특별시 광진구 자양동 855-2,보도 중앙,37.5328185,127.0683211
108,광진구,2023-02-10,2023-02-10,서울특별시 광진구 화양동 4-20,자전거 도로,37.5406698,127.0714146
109,광진구,2023-02-10,2023-02-10,서울특별시 광진구 화양동 7-47,보도와 차도가 구분된 도로의 차도,37.5406706,127.0689886
110,광진구,2023-02-10,2023-02-10,서울특별시 광진구 화양동 4-9,보도 중앙,37.5405378,127.0688968
111,광진구,2023-02-10,2023-02-10,서울특별시 광진구 군자동 226,보도와 차도가 구분된 도로의 차도,37.5515329,127.0755151
112,광진구,2023-02-10,2023-02-10,서울특별시 광진구 군자동 226,보도와 차도가 구분된 도로의 차도,37.5515329,127.0755151
113,광진구,2023-02-13,2023-02-13,서울특별시 광진구 능동 436-7,보도와 차도가 구분된 도로의 차도,37.5514604,127.0766009
114,광진구,2023-02-13,2023-02-13,서울특별시 광진구 능동 453-10,보도와 차도가 구분된 도로의 차도,37.551502,127.0766378
115,광진구,2023-02-13,2023-02-13,서울특별시 광진구 군자동 346-42,보도와 차도가 구분된 도로의 차도,37.5481723,127.0723192
116,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 65-11,보도와 차도가 구분된 도로의 차도,37.5337995,127.0677282
117,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 65-11,보도와 차도가 구분된 도로의 차도,37.5337995,127.0677282
118,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 65-11,보도와 차도가 구분된 도로의 차도,37.5337995,127.0677282
119,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 65-11,보도와 차도가 구분된 도로의 차도,37.5337995,127.0677282
120,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 855,보도와 차도가 구분된 도로의 차도,37.5329888,127.0680604
121,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 65-2,보도와 차도가 구분된 도로의 차도,37.5326587,127.0672041
122,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 65-2,보도와 차도가 구분된 도로의 차도,37.5326587,127.0672041
123,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 854-3,보도와 차도가 구분된 도로의 차도,37.5327534,127.0674782
124,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 854-3,보도와 차도가 구분된 도로의 차도,37.5327534,127.0674782
125,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 854-3,보도와 차도가 구분된 도로의 차도,37.5327534,127.0674782
126,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 854-3,보도와 차도가 구분된 도로의 차도,37.5327534,127.0674782
127,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 507-36,보도와 차도가 구분된 도로의 차도,37.5356387,127.0691437
128,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 550-2,보도와 차도가 구분된 도로의 차도,37.5349742,127.068388
129,광진구,2023-02-13,2023-02-13,서울특별시 광진구 자양동 510-6,보도와 차도가 구분된 도로의 차도,37.5365439,127.0690731
130,광진구,2023-02-13,2023-02-13,서울특별시 광진구 화양동 39-5,보도와 차도가 구분된 도로의 차도,37.5460168,127.0736683
131,광진구,2023-02-13,2023-02-13,서울특별시 광진구 화양동 111-119,보도와 차도가 구분된 도로의 차도,37.5463013,127.0733575
132,광진구,2023-02-13,2023-02-13,서울특별시 광진구 화양동 164-2,보도와 차도가 구분된 도로의 차도,37.5459327,127.0734121
133,광진구,2023-02-13,2023-02-13,서울특별시 광진구 능동 339-2,보도와 차도가 구분된 도로의 차도,37.5493448,127.0754819
134,광진구,2023-02-13,2023-02-13,서울특별시 광진구 능동 18,보도와 차도가 구분된 도로의 차도,37.5495886,127.081578
135,광진구,2023-02-13,2023-02-13,서울특별시 광진구 능동 339-2,보도와 차도가 구분된 도로의 차도,37.5493448,127.0754819
136,광진구,2023-02-13,2023-02-13,서울특별시 광진구 능동 339-2,보도와 차도가 구분된 도로의 차도,37.5493448,127.0754819
137,광진구,2023-02-13,2023-02-13,서울특별시 광진구 능동 18,보도와 차도가 구분된 도로의 차도,37.5495886,127.081578
138,광진구,2023-02-13,2023-02-13,서울특별시 광진구 능동 339-2,보도와 차도가 구분된 도로의 차도,37.5493448,127.0754819
139,광진구,2023-02-14,2023-02-14,서울특별시 광진구 중곡동 168-7,"횡단보도, 산책로 등",37.5667663,127.084154
140,광진구,2023-02-14,2023-02-14,서울특별시 광진구 구의동 246-99,보도 중앙,37.5368445,127.0838224
141,광진구,2023-02-14,2023-02-14,서울특별시 광진구 자양동 204-1,기타,37.5367608,127.0832751
142,광진구,2023-02-14,2023-02-14,서울특별시 광진구 구의동 546-3,지하철역 진출입로 및 주변,37.5356687,127.0946879
143,광진구,2023-02-14,2023-02-14,서울특별시 광진구 구의동 546-3,지하철역 진출입로 및 주변,37.5356687,127.0946879
144,광진구,2023-02-14,2023-02-14,서울특별시 광진구 구의동 546-3,지하철역 진출입로 및 주변,37.5356687,127.0946879
145,광진구,2023-02-14,2023-02-14,서울특별시 광진구 군자동 236,자전거 도로,37.5519413,127.0763531
146,광진구,2023-02-14,2023-02-14,서울특별시 광진구 자양동 553-532,"횡단보도, 산책로 등",37.5348991,127.0699123
147,광진구,2023-02-14,2023-02-14,서울특별시 광진구 자양동 504,"횡단보도, 산책로 등",37.5345981,127.0691877
148,광진구,2023-02-14,2023-02-14,서울특별시 광진구 자양동 855-2,"횡단보도, 산책로 등",37.5328185,127.0683211
149,광진구,2023-02-14,2023-02-14,서울특별시 광진구 자양동 854-3,"횡단보도, 산책로 등",37.5327534,127.0674782
150,광진구,2023-02-14,2023-02-14,서울특별시 광진구 중곡동 273-1,"횡단보도, 산책로 등",37.565831,127.08425
151,광진구,2023-02-14,2023-02-14,서울특별시 광진구 중곡동 265-16,"횡단보도, 산책로 등",37.5577338,127.0802171
152,광진구,2023-02-16,2023-02-16,서울특별시 광진구 능동 281-5,"점자블록, 엘리베이터 입구",37.5518242,127.077193
153,광진구,2023-02-17,2023-02-17,서울특별시 광진구 화양동 48-7,"횡단보도, 산책로 등",37.5415499,127.0661817
154,광진구,2023-02-20,2023-02-20,서울특별시 광진구 능동 18-47,자전거 도로,37.5486211,127.0750733
155,광진구,2023-02-20,2023-02-20,서울특별시 광진구 군자동 98-2,자전거 도로,37.5484886,127.0748582
156,광진구,2023-02-20,2023-02-20,서울특별시 광진구 군자동 226,보도와 차도가 구분된 도로의 차도,37.5515329,127.0755151
157,광진구,2023-02-20,2023-02-20,서울특별시 광진구 구의동 246-14,"점자블록, 엘리베이터 입구",37.5370435,127.0843831
158,광진구,2023-02-20,2023-02-20,서울특별시 광진구 능동 18,지하철역 진출입로 및 주변,37.5495886,127.081578
159,광진구,2023-02-20,2023-02-20,서울특별시 광진구 자양동 205-6,"점자블록, 엘리베이터 입구",37.5385198,127.0832389
160,광진구,2023-02-20,2023-02-20,서울특별시 광진구 구의동 234-20,"버스정류장, 택시 승강장",37.5442519,127.0847466
161,광진구,2023-02-22,2023-02-22,서울특별시 광진구 자양동 1-6,지하철역 진출입로 및 주변,37.5400908,127.0697292
162,광진구,2023-02-22,2023-02-22,서울특별시 광진구 화양동 5-52,자전거 도로,37.5416936,127.071386
163,광진구,2023-02-24,2023-02-24,서울특별시 광진구 군자동 235,자전거 도로,37.5522336,127.0765244
164,광진구,2023-02-24,2023-02-24,서울특별시 광진구 군자동 27-4,자전거 도로,37.5532096,127.0768478
165,광진구,2023-02-24,2023-02-24,서울특별시 광진구 구의동 243-66,"점자블록, 엘리베이터 입구",37.5375938,127.0870344
166,광진구,2023-02-24,2023-02-24,서울특별시 광진구 화양동 4-15,"버스정류장, 택시 승강장",37.5407376,127.0711869
167,광진구,2023-02-24,2023-02-24,서울특별시 광진구 화양동 6-3,"버스정류장, 택시 승강장",37.5405069,127.0705832
168,광진구,2023-02-24,2023-02-24,서울특별시 광진구 화양동 50-1,"횡단보도, 산책로 등",37.5423197,127.0646508
169,광진구,2023-02-24,2023-02-24,서울특별시 광진구 화양동 21-53,"횡단보도, 산책로 등",37.5471067,127.0670003
170,광진구,2023-02-24,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
171,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
172,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
173,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
174,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 675,보도와 차도가 구분된 도로의 차도,37.5612523,127.0817291
175,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 675,보도와 차도가 구분된 도로의 차도,37.5612523,127.0817291
176,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
177,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
178,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
179,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
180,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
181,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
182,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
183,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
184,광진구,2023-02-27,2023-02-27,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
185,광진구,2023-02-28,2023-02-28,서울특별시 광진구 중곡동 606-1,"횡단보도, 산책로 등",37.5704724,127.0861422
186,광진구,2023-02-28,2023-02-28,서울특별시 광진구 구의동 91,"점자블록, 엘리베이터 입구",37.5493093,127.0921831
187,광진구,2023-02-28,2023-02-28,서울특별시 광진구 구의동 91,"점자블록, 엘리베이터 입구",37.5493093,127.0921831
188,광진구,2023-02-28,2023-02-28,서울특별시 광진구 구의동 91,"점자블록, 엘리베이터 입구",37.5493093,127.0921831
189,광진구,2023-02-28,2023-02-28,서울특별시 광진구 구의동 59-11,"점자블록, 엘리베이터 입구",37.5487155,127.0922921
190,광진구,2023-02-28,2023-02-28,서울특별시 광진구 구의동 91,"점자블록, 엘리베이터 입구",37.5493093,127.0921831
191,광진구,2023-02-28,2023-02-28,서울특별시 광진구 광장동 237-15,보도 중앙,37.5448997,127.103842
192,광진구,2023-02-28,2023-02-28,서울특별시 광진구 광장동 237-15,보도 중앙,37.5448997,127.103842
193,광진구,2023-02-28,2023-02-28,서울특별시 광진구 광장동 237-15,보도 중앙,37.5448997,127.103842
194,광진구,2023-02-28,2023-02-28,서울특별시 광진구 광장동 237-15,보도 중앙,37.5448997,127.103842
195,광진구,2023-02-28,2023-02-28,서울특별시 광진구 광장동 237-15,보도 중앙,37.5448997,127.103842
196,광진구,2023-02-28,2023-02-28,서울특별시 광진구 광장동 218-22,지하철역 진출입로 및 주변,37.5444573,127.1047142
197,광진구,2023-02-28,2023-02-28,서울특별시 광진구 광장동 201-2,지하철역 진출입로 및 주변,37.5443774,127.1040935
198,광진구,2023-02-28,2023-02-28,서울특별시 광진구 능동 282-1,보도 중앙,37.5551353,127.0786842
199,광진구,2023-02-28,2023-02-28,서울특별시 광진구 능동 282-1,보도 중앙,37.5551353,127.0786842
200,광진구,2023-02-28,2023-02-28,서울특별시 광진구 능동 279-9,자전거 도로,37.556075,127.0791175
201,광진구,2023-02-28,2023-02-28,서울특별시 광진구 능동 279-2,자전거 도로,37.5562243,127.0793201
202,광진구,2023-02-28,2023-02-28,서울특별시 광진구 능동 279-2,자전거 도로,37.5562243,127.0793201
203,광진구,2023-02-28,2023-02-28,서울특별시 광진구 군자동 313,보도 중앙,37.5518104,127.0765659
204,광진구,2023-02-28,2023-02-28,서울특별시 광진구 군자동 476-1,보도 중앙,37.5566891,127.0782628
205,광진구,2023-02-28,2023-02-28,서울특별시 광진구 군자동 498,보도 중앙,37.5566612,127.0779868
206,광진구,2023-02-28,2023-02-28,서울특별시 광진구 중곡동 164-1,"횡단보도, 산책로 등",37.5627248,127.0822682
207,광진구,2023-02-28,2023-02-28,서울특별시 광진구 능동 279-5,보도 중앙,37.5555987,127.0789771
208,광진구,2023-02-28,2023-02-28,서울특별시 광진구 중곡동 272-12,자전거 도로,37.556515,127.0815322
209,광진구,2023-02-28,2023-02-28,서울특별시 광진구 중곡동 157-24,"점자블록, 엘리베이터 입구",37.5570261,127.0806447
210,광진구,2023-02-28,2023-02-28,서울특별시 광진구 중곡동 272-12,"점자블록, 엘리베이터 입구",37.556515,127.0815322
211,광진구,2023-02-28,2023-02-28,서울특별시 광진구 중곡동 272-12,"점자블록, 엘리베이터 입구",37.556515,127.0815322
212,광진구,2023-02-28,2023-02-28,서울특별시 광진구 중곡동 272-12,보도 중앙,37.556515,127.0815322
213,광진구,2023-02-28,2023-02-28,서울특별시 광진구 중곡동 272-12,보도 중앙,37.556515,127.0815322
214,광진구,2023-02-28,2023-02-28,서울특별시 광진구 중곡동 272-12,보도 중앙,37.556515,127.0815322
215,광진구,2023-02-28,2023-02-28,서울특별시 광진구 중곡동 272-12,보도 중앙,37.556515,127.0815322
216,광진구,2023-02-28,2023-02-28,서울특별시 광진구 중곡동 272-12,보도 중앙,37.556515,127.0815322
217,광진구,2023-03-02,2023-03-02,서울특별시 광진구 군자동 498,보도 중앙,37.5566612,127.0779868
218,광진구,2023-03-02,2023-03-02,서울특별시 광진구 군자동 235,보도 중앙,37.5522336,127.0765244
219,광진구,2023-03-02,2023-03-02,서울특별시 광진구 자양동 550-2,"횡단보도, 산책로 등",37.5349742,127.068388
220,광진구,2023-03-02,2023-03-02,서울특별시 광진구 능동 283-6,보도 중앙,37.5529648,127.0775577
221,광진구,2023-03-02,2023-03-02,서울특별시 광진구 구의동 111,보도 중앙,37.5497384,127.0905142
